ID	Collection_site	lat	lon	MATx10	County..State	Alive_UVM	dbio1[, 1]	MAT
ApGXL-01-A	Magnolia Springs, GA	32.8791	81.9572	61	Jenkins, GA	1	-21	6.1
ApGXL-01-B	Magnolia Springs, GA	32.8795	81.9571	67	Jenkins, GA	1	-21	6.7
ApGXL-01-C	Magnolia Springs, GA	32.8809	81.9573	64	Jenkins, GA	0	-21	6.4
ApGXL-02-A	Hitchcock Woods, SC	33.5553	81.7334	140	Aiken, SC	1	-66	14
ApGXL-02-B	Hitchcock Woods, SC	33.5556	81.7338	164	Aiken, SC	0	-66	16.4
ApGXL-02-C	Hitchcock Woods, SC	33.5568	81.7289	155	Aiken, SC	0	-66	15.5
ApGXL-03-A	Francis Marion Univ., SC	34.1867	79.6483	33	Florence, SC	1	-102	3.3
ApGXL-04-A	Uwharrie National Forest	35.3693	79.9745	210	Troy, NC	1	-70	21
ApGXL-04-B	Uwharrie National Forest	35.3693	79.9745	210	Troy, NC	0	-70	21
ApGXL-04-C	Uwharrie National Forest	35.3693	79.9745	210	Troy, NC	0	-70	21
ApGXL-04-D	Uwharrie National Forest	35.3693	79.9745	210	Troy, NC	0	-70	21
ApGXL-04-E	Uwharrie National Forest	35.3693	79.9745	210	Troy, NC	0	-70	21
ApGXL-04-F	Uwharrie National Forest	35.3693	79.9745	210	Troy, NC	0	-70	21
ApGXL-05-A	Great Smoky Mountains National Park, TN (mid-elevation)	35.6362	83.4928	860	Sevier, TN	0	-66	86
ApGXL-05-B	Great Smoky Mountains National Park, TN (mid-elevation)	35.6363	83.4938	850	Sevier, TN	0	-66	85
ApGXL-05-C	Great Smoky Mountains National Park, TN (mid-elevation)	35.6363	83.4927	865	Sevier, TN	0	-66	86.5
ApGXL-05-D	Great Smoky Mountains National Park, TN (mid-elevation)	35.6367	83.493	841	Sevier, TN	0	-66	84.1
ApGXL-06-A	Dean's Woods, TN	35.9199	83.9498	289	Knox, TN	0	-79	28.9
ApGXL-06-B	Dean's Woods, TN	35.92	83.9493	235	Knox, TN	1	-79	23.5
ApGXL-07-A	Blue Ridge Parkway, high elevation	35.9264	81.9538	1249	Spruce Pine, NC	0	-67	124.9
ApGXL-07-B	Blue Ridge Parkway, high elevation	35.9264	81.9538	1249	Spruce Pine, NC	0	-67	124.9
ApGXL-08-A	Ijams Nature Center,  TN	35.9557	83.864	303	Knox, TN	0	-79	30.3
ApGXL-08-B	Ijams Nature Center,  TN	35.9534	83.8625	260	Knox, TN	0	-79	26
ApGXL-08-C	Ijams Nature Center,  TN	35.9544	83.8627	270	Knox, TN	0	-79	27
ApGXL-08-D	Ijams Nature Center,  TN	35.9544	83.8627	270	Knox, TN	1	-79	27
ApGXL-09-A	Raleigh Chambers (Duke forest)	36.0364	79.0772	177	Durham, NC	0	-50	17.7
ApGXL-09-B	Raleigh Chambers (Duke forest)	36.0364	79.0772	177	Durham, NC	0	-50	17.7
ApGXL-10-A	Lynchburg, VA (Black Water Creek park)	37.4211	79.181	194	Lynchburg, VA	1	129	19.4
ApGXL-10-B	Lynchburg, VA (Black Water Creek park)	37.4211	79.181	194	Lynchburg, VA	1	129	19.4
ApGXL-10-C	Lynchburg, VA (Black Water Creek park)	37.4211	79.181	194	Lynchburg, VA	0	129	19.4
ApGXL-10-D	Lynchburg, VA (Black Water Creek park)	37.4211	79.181	194	Lynchburg, VA	0	129	19.4
ApGXL-10-E	Lynchburg, VA (Black Water Creek park)	37.4211	79.181	194	Lynchburg, VA	0	129	19.4
ApGXL-10-F	Lynchburg, VA (Black Water Creek park)	37.4211	79.181	194	Lynchburg, VA	0	129	19.4
ApGXL-11-A	William Penn, Pa	39.7255	76.079	292	Nottingham, Pa	0	105	29.2
ApGXL-11-B	William Penn, Pa	39.7255	76.0789	292	Nottingham, Pa	0	105	29.2
ApGXL-11-C	William Penn, Pa	39.7258	76.0786	295	Nottingham, Pa	0	105	29.5
ApGXL-11-D	William Penn, Pa	39.7261	76.0786	305	Nottingham, Pa	1	105	30.5
ApGXL-12-A	Nockamixon State Park, Pa	40.4392	75.25847	NA	Quakertown, Pa	1	-38	NA
ApGXL-12-B	Nockamixon State Park, Pa	40.4392	75.25847	NA	Quakertown, Pa	0	-38	NA
ApGXL-12-C	Nockamixon State Park, Pa	40.4392	75.25847	NA	Quakertown, Pa	0	-38	NA
ApGXL-12-D	Nockamixon State Park, Pa	40.4396	75.25933	NA	Quakertown, Pa	0	-38	NA
ApGXL-13-A	Hickory Run State Park, Pa	41.0226	75.71777	NA	White Haven, Pa	0	9	NA
ApGXL-13-B	Hickory Run State Park, Pa	41.0226	75.71777	NA	White Haven, Pa	1	9	NA
ApGXL-13-C	Hickory Run State Park, Pa	41.0213	75.7173	NA	White Haven, Pa	0	9	NA
ApGXL-13-D	Hickory Run State Park, Pa	41.0219	75.7172	NA	White Haven, Pa	0	9	NA
ApGXL-13-E	Hickory Run State Park, Pa	41.022	75.7173	NA	White Haven, Pa	0	9	NA
ApGXL-13-F	Hickory Run State Park, Pa	41.0221	75.71719	NA	White Haven, Pa	0	9	NA
ApGXL-15-A	Delaware State Park, Pa	41.298	75.0112	NA	Greentown, Pa	0	38	NA
ApGXL-15-B	Delaware State Park, Pa	41.3046	75.0098	NA	Greentown, Pa	0	38	NA
ApGXL-15-C	Delaware State Park, Pa	41.3012	75.0109	NA	Greentown, Pa	0	38	NA
ApGXL-15-D	Delaware State Park, Pa	41.3044	75.0093	NA	Greentown, Pa	1	38	NA
APGXL-16-A	Black Rock Forest, Ny	41.4041	74.0209	NA	Cornwall, Ny	0	70	NA
APGXL-16-B	Black Rock Forest, Ny	41.404	74.0219	NA	Cornwall, Ny	0	70	NA
APGXL-16-C	Black Rock Forest, Ny	41.4039	74.0211	NA	Cornwall, Ny	0	70	NA
APGXL-16-D	Black Rock Forest, Ny	41.4045	74.0203	NA	Cornwall, Ny	0	70	NA
ApGXL-17-A	Bard College, Ny	42.0174	73.9163	NA	Red Hook, Ny	0	13	NA
ApGXL-17-B	Bard College, Ny	42.0174	73.9163	NA	Red Hook, Ny	1	13	NA
ApGXL-17-C	Bard College, Ny	42.0174	73.9163	NA	Red Hook, Ny	0	13	NA
ApGXL-18-A	Notchview, Ma	42.4983	73.0043	NA	Windsor, Ma	0	13	NA
ApGXL-18-B	Notchview, Ma	42.4985	73.0267	NA	Windsor, Ma	0	13	NA
ApGXL-18-C	Notchview, Ma	42.4983	73.0064	NA	Windsor, Ma	0	13	NA
ApGXL-18-D	Notchview, Ma	42.4984	73.0276	NA	Windsor, Ma	0	13	NA
ApGXL-19-A	Harvard Forest	42.5628	72.2319	NA	Petersham, MA	1	56	NA
ApGXL-19-B	Harvard Forest	42.5628	72.2319	NA	Petersham, MA	0	56	NA
ApGXL-19-C	Harvard Forest	42.56283	72.2319	NA	Petersham, MA	0	56	NA
ApGXL-19-D	Harvard Forest	42.56283	72.2319	NA	Petersham, MA	0	56	NA
ApGXL-20-A	Albany Pine Bush, Ny	42.7184	73.8561	NA	Albany, NY	0	94	NA
